schema,lambda,mean_delta_pp,wins,losses,worst_delta_pp
atomic_random,0.0,0.0,0,0,0.0
atomic_random,0.03,0.005273337471159896,12,8,-0.02828054298642524
atomic_random,0.1,0.017598867284202013,11,11,-0.0707013574660631
atomic_random,0.3,0.028038298528191657,12,11,-0.21816418875243437
atomic_random,1.0,0.013416673763477308,11,12,-0.5211700064641223
atomic_random,3.0,-0.005207142346636921,10,12,-0.8120555914673422
dependency_blocked,0.0,0.0,0,0,0.0
dependency_blocked,0.03,-0.003357383552933061,8,13,-0.08663634394626696
dependency_blocked,0.1,0.004201948163115125,10,14,-0.13258487302193478
dependency_blocked,0.3,-0.005322610697720369,9,14,-0.4832697840321365
dependency_blocked,1.0,-0.06062178046265752,10,13,-1.2874863986207963
dependency_blocked,3.0,-0.12679547393038884,9,14,-2.3187390222634607
family_blocked,0.0,0.0,0,0,0.0
family_blocked,0.03,0.0067840053423686335,13,10,-0.07887089678380033
family_blocked,0.1,0.019247470902821844,11,11,-0.26697115174342256
family_blocked,0.3,0.010300809149327295,11,13,-0.75569735701293
family_blocked,1.0,-0.04520406309205203,10,13,-1.7519147699060156
family_blocked,3.0,-0.1407565169201518,10,14,-2.7832502334771525
