cell,n_rows,acc,edis_auroc,edis_lo,edis_hi,lsml_good5_auroc,rho_edis_lsml,n_overlap
epr_triviaqa_mistral24b,1000,0.786,0.6633,0.6211,0.7059,0.7073,0.8704,621
inside_coqa_llama7b,249,0.1833,0.6366,0.5543,0.7151,0.5333,0.154,249
lapeigvals_gsm8k_llama8b,500,0.724,0.809,0.7606,0.8499,0.8152,0.8749,500
losnet_hotpotqa_mistral7b,500,0.338,0.5696,0.5149,0.626,0.5754,0.8976,500
sciq_llama8b,30,0.9,0.6296,0.4261,1.0,,,
se_nq_open_llama8b,300,0.0667,0.6214,0.5972,0.6475,,0.7202,258
se_squad_v2_llama8b,10000,0.6059,0.5348,0.5304,0.539,0.7982,0.4772,2933
seiclr_triviaqa_opt30b,5000,0.4648,0.5405,0.5248,0.5568,0.5948,0.3884,4993
semenergy_triviaqa_qwen3_8b,5000,0.4926,0.5928,0.5854,0.6012,0.8006,0.5287,4392
spilled_triviaqa_llama8b,500,0.32,0.7408,0.7069,0.7709,0.934,0.8906,256
truthfulqa_llama8b,8170,0.2219,0.6271,0.6137,0.6407,0.666,0.8152,7633
