cell,dataset,new_GOOD5_lsml,old_GOOD5,delta_new_minus_old
epr_triviaqa_mistral24b,trivia_qa_wiki,0.7073,0.6549,0.0524
lapeigvals_gsm8k_llama8b,gsm8k,0.8152,0.7563,0.05890000000000006
losnet_hotpotqa_mistral7b,hotpotqa,0.5754,0.7759,-0.2005
se_squad_v2_llama8b,squad_v2,0.7982,,
seiclr_triviaqa_opt30b,trivia_qa_rougel,0.5948,0.6549,-0.06010000000000004
semenergy_triviaqa_qwen3_8b,trivia_qa,0.8006,0.6549,0.14569999999999994
spilled_triviaqa_llama8b,trivia_qa,0.934,0.6549,0.2791
lapeigvals_gsm8k_phi35,gsm8k,0.8032,0.7563,0.04690000000000005
sciq_llama8b,sciq,0.7381,,
truthfulqa_llama8b,truthfulqa,0.6596,,
internalstates_gsm8k_qwen25_7b,gsm8k,0.6282,0.7563,-0.1281
ars_gsm8k_r1distill8b,gsm8k,0.75,0.7563,-0.006299999999999972
lapeigvals_gsm8k_llama3b,gsm8k,0.6845,0.7563,-0.07179999999999997
lapeigvals_gsm8k_mistral24b,gsm8k,0.8006,0.7563,0.044300000000000006
lapeigvals_gsm8k_nemo,gsm8k,0.782,0.7563,0.025700000000000056
noise_gsm8k_mistral7b,gsm8k,0.7851,0.7563,0.028800000000000048
noise_gsm8k_phi3mini,gsm8k,0.6643,0.7563,-0.09199999999999997
se_nq_open_llama8b,nq_open,0.718,,
inside_coqa_llama7b,coqa,0.6841,,
inside_coqa_llama7b_n30_pilot,coqa,0.5333,,
