domain,cell,n,n_splits,greedy_halfA,greedy_halfB,good5_halfB,fulloracle_halfB,fulloracle_insample,optimism_gap
repgrid,ars_gsm8k_r1distill8b,500,10,0.79588,0.7427699999999999,0.7456699999999999,0.6509400000000001,0.779,0.0531100000000001
repgrid,epr_triviaqa_mistral24b,621,10,0.77365,0.7313,0.6931,0.70614,0.7384,0.04235
repgrid,inside_coqa_llama7b,4504,10,0.71441,0.63252,0.6855800000000001,0.6834100000000001,0.7227,0.08189000000000002
repgrid,internalstates_gsm8k_qwen25_7b,500,10,0.77824,0.7358499999999999,0.69231,0.72247,0.7283,0.04239000000000015
repgrid,lapeigvals_gsm8k_llama3b,1319,10,0.7288,0.70775,0.68974,0.65108,0.7096,0.021050000000000013
repgrid,lapeigvals_gsm8k_llama8b,500,10,0.8382400000000001,0.8149000000000001,0.8177099999999999,0.83618,0.8279,0.023340000000000027
repgrid,lapeigvals_gsm8k_mistral24b,1319,10,0.88255,0.8512000000000001,0.7936799999999999,0.84203,0.8693,0.03134999999999988
repgrid,lapeigvals_gsm8k_nemo,1319,10,0.8293900000000001,0.80916,0.7843199999999999,0.80708,0.8139999999999998,0.02023000000000008
repgrid,lapeigvals_gsm8k_phi35,1319,10,0.83077,0.79957,0.8015100000000001,0.79784,0.8176,0.031200000000000006
repgrid,losnet_hotpotqa_mistral7b,500,10,0.63733,0.56831,0.56531,0.60347,0.6107,0.06901999999999997
repgrid,math500_dsmath7b,300,10,0.8267899999999999,0.79076,0.72938,,,0.036029999999999895
repgrid,math500_qwenmath7b,300,10,0.9600799999999999,0.94368,0.90833,,,0.01639999999999997
repgrid,math500_r1distill8b,300,10,0.89793,0.8430799999999999,0.82391,,,0.054850000000000065
repgrid,math500_r1distill8b_mn4096,300,10,0.88049,0.8460599999999999,0.8356899999999999,,,0.03443000000000007
repgrid,noise_gsm8k_mistral7b,1319,10,0.82277,0.8082900000000001,0.78209,0.8147800000000001,0.8183,0.014479999999999937
repgrid,noise_gsm8k_phi3mini,1319,10,0.69494,0.6868000000000001,0.66661,0.6758599999999999,0.6935,0.008139999999999925
repgrid,sciq_llama8b,198,10,0.7842800000000001,0.73333,0.7474000000000001,0.77237,0.7609,0.05095000000000005
repgrid,se_nq_open_llama8b,8460,10,0.7572599999999999,0.75835,0.71867,0.7089700000000001,0.7428,-0.0010900000000000354
repgrid,se_squad_v2_llama8b,2933,10,0.83019,0.83015,0.80137,0.81966,0.8181,3.999999999992898e-05
repgrid,seiclr_triviaqa_opt30b,4993,10,0.6603399999999999,0.6439,0.59361,0.6343,0.6325,0.0164399999999999
repgrid,semenergy_triviaqa_qwen3_8b,4392,10,0.81857,0.82006,0.80268,0.8111,0.8093999999999999,-0.0014899999999999913
repgrid,spilled_triviaqa_llama8b,256,9,0.9967888888888888,0.8474333333333334,0.9336777777777778,0.9691555555555555,0.9827,0.14935555555555546
repgrid,trace_gsm8k_llama8b_k10,5000,10,0.8271499999999999,0.8192600000000001,0.80169,,,0.007889999999999842
repgrid,trace_math500_qwenmath15b_k10,3000,10,0.71354,0.71794,0.66543,,,-0.0044000000000000705
repgrid,truthfulqa_llama8b,7633,10,0.69538,0.69041,0.6590900000000001,0.6865,0.6878,0.00497000000000003
